cif,formula,sgnum,WyckOcc,sitios,elements,atoms,target
1521116,Sr2TbIrO6,14,"{0: {'b': {'Tb': 1}}, 1: {'c': {'Ir': 1}}, 2: {'e': {'Sr': 1}}, 3: {'e': {'O': 1}}, 4: {'e': {'O': 1}}, 5: {'e': {'O': 1}}}",6,4.0,20.0,7
7214217,Ca5.64Mg0.36C6O18,167,"{0: {'a': {'C4+': 1}}, 1: {'b': {'Mg2+': 0.06, 'Ca2+': 0.94}}, 2: {'e': {'O2-': 1}}}",3,4.0,30.0,7
1522129,Ba0.93Mg0.21Ti0.79O2.97,221,"{0: {'a': {'Ba': 0.93}}, 1: {'b': {'Mg': 0.21, 'Ti': 0.79}}, 2: {'c': {'O': 0.99}}}",3,4.0,4.9,7
1526445,La1.6Sm2.4Fe4O12,62,"{0: {'b': {'Fe': 1}}, 1: {'c': {'Sm': 0.6, 'La': 0.4}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1538461,K8Na4Ti4O4.0008F19.9992,225,"{0: {'a': {'Ti': 1}}, 1: {'b': {'Na': 1}}, 2: {'c': {'K': 1}}, 3: {'e': {'F': 0.833, 'O': 0.167}}}",4,5.0,40.0,7
1521771,NaNiF3,62,"{0: {'b': {'Ni': 1}}, 1: {'c': {'Na': 1}}, 2: {'c': {'F': 1}}, 3: {'d': {'F': 1}}}",4,3.0,20.0,7
2002143,Ba2MnTeO6,225,"{0: {'a': {'Mn2+': 1}}, 1: {'b': {'Te6+': 1}}, 2: {'c': {'Ba2+': 1}}, 3: {'e': {'O2-': 1}}}",4,4.0,40.0,7
2001086,Na3MnF6,14,"{0: {'a': {'Mn': 1}}, 1: {'d': {'Na': 1}}, 2: {'e': {'Na': 1}}, 3: {'e': {'F': 1}}, 4: {'e': {'F': 1}}, 5: {'e': {'F': 1}}}",6,3.0,20.0,7
1534046,DyScO3,62,"{0: {'b': {'Sc': 1}}, 1: {'c': {'Dy': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
7036869,Sc2.182Mn3.818Sb2O12,14,"{0: {'b': {'Mn': 0.091, 'Sc': 0.909}}, 1: {'c': {'Sb': 1}}, 2: {'e': {'Mn': 0.909, 'Sc': 0.091}}, 3: {'e': {'O': 1}}, 4: {'e': {'O': 1}}, 5: {'e': {'O': 1}}}",6,4.0,20.0,7
4002385,Ca1.68Mn4Bi2.32O12,62,"{0: {'b': {'Mn': 1}}, 1: {'c': {'Bi': 0.58, 'Ca': 0.42}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
4002400,Sr0.855Co1Bi0.145O2.736,221,"{0: {'a': {'Co': 1}}, 1: {'b': {'Bi': 0.145, 'Sr': 0.855}}, 2: {'d': {'O': 0.912}}}",3,4.0,4.736,7
1511092,DyBRh3,221,"{0: {'a': {'Dy': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
7036922,Ba3.2Ca0.8La2Nb2O12,12,"{0: {'a': {'La': 1}}, 1: {'d': {'Nb': 1}}, 2: {'i': {'Ca': 0.2, 'Ba': 0.8}}, 3: {'i': {'O': 1}}, 4: {'j': {'O': 1}}}",5,5.0,20.0,7
1511320,YbBRh3,221,"{0: {'a': {'Yb': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
1532530,Ca1.332Nd2.668Ti2.668Zn1.332O12,62,"{0: {'a': {'Zn': 0.333, 'Ti': 0.667}}, 1: {'c': {'Nd': 0.667, 'Ca': 0.333}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,5.0,20.0,7
4336934,LuFe4(CuO4)3,204,"{0: {'a': {'Lu': 1}}, 1: {'b': {'Cu': 1}}, 2: {'c': {'Fe': 1}}, 3: {'g': {'O': 1}}}",4,4.0,40.0,7
9010207,Mg2.4Cd3.6C6O18,148,"{0: {'a': {'Mg': 0.282, 'Cd': 0.718}}, 1: {'b': {'Mg': 0.518, 'Cd': 0.482}}, 2: {'c': {'C': 1}}, 3: {'f': {'O': 1}}}",4,4.0,30.0,7
1528297,Sr1Fe0.4Co0.6O2.5599,221,"{0: {'a': {'Co': 0.6, 'Fe': 0.4}}, 1: {'b': {'Sr': 1}}, 2: {'d': {'O': 0.853}}}",3,4.0,4.559,7
