cif,formula,sgnum,WyckOcc,sitios,elements,atoms,target
1511103,Sc1B0.21Rh3,221,"{0: {'a': {'Sc': 1}}, 1: {'b': {'B': 0.21}}, 2: {'c': {'Rh': 1}}}",3,3.0,4.21,7
1511104,ErBRh3,221,"{0: {'a': {'Er': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
1511115,EuBPd3,221,"{0: {'a': {'Eu': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1511116,EuBRh3,221,"{0: {'a': {'Eu': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
1511131,FeBO3,167,"{0: {'a': {'B': 1}}, 1: {'b': {'Fe': 1}}, 2: {'e': {'O': 1}}}",3,3.0,30.0,7
1511166,GdBPd3,221,"{0: {'a': {'Gd': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1511167,GdBRh3,221,"{0: {'a': {'Gd': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
1511174,Er1B0.4Pt3,221,"{0: {'a': {'Er': 1}}, 1: {'b': {'B': 0.4}}, 2: {'c': {'Pt': 1}}}",3,3.0,4.4,7
1511182,HoBPd3,221,"{0: {'a': {'Ho': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 1}}}",3,3.0,5.0,7
1511183,HoBRh3,221,"{0: {'a': {'Ho': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
1511189,Sc3InB,221,"{0: {'a': {'In': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Sc': 1}}}",3,3.0,5.0,7
1511193,Sc1B0.444Rh3,221,"{0: {'a': {'Sc': 1}}, 1: {'b': {'B': 0.444}}, 2: {'c': {'Rh': 1}}}",3,3.0,4.444,7
